State,Electoral Votes,PVI,2016 result,Average Ratings,Cook,IE,Sabato,Politico,RCP,Niskanen,CNN,The Economist,CBS,270toWin,ABC,NPR,NBC,538,CNalysis,Safe R,Likely R,Lean R,Tilt R,Tossup,Safe D,Likely D,Lean D,Tilt D,Consensus,Max,Confidence
Alabama,9,R+14,62.1% R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Likely R,Safe R,Safe R,Likely R,Safe R,Solid R,Safe R,11,2,0,0,0,0,0,0,0,Safe R,11,0.7333333333333333
Alaska,3,R+9,51.3% R,Likely R,Likely R,Lean R,Likely R,Likely R,Likely R,Tossup,Safe R,Likely R,Likely R,Likely R,Lean R,Likely R,Likely R,Likely R,Likely R,1,10,2,0,1,0,0,0,0,Likely R,10,0.6666666666666666
Arizona,11,R+5,48.9% R,Tossup,Lean D  (flip),Tilt D  (flip),Tossup,Tossup,Tossup,Likely D  (flip),Lean D  (flip),Tossup,Tossup,Tossup,Lean D  (flip),Tossup,Lean D  (flip),Lean D  (flip),Tossup,0,0,0,0,7,0,1,5,1,Tossup,7,0.4666666666666667
Arkansas,6,R+15,60.6% R,Safe R,Safe R,Safe R,Safe R,Safe R,Likely R,Safe R,Safe R,Safe R,Likely R,Safe R,Safe R,Likely R,Safe R,Solid R,Safe R,10,3,0,0,0,0,0,0,0,Safe R,10,0.6666666666666666
California,55,D+12,61.7% D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Likely D,Safe D,Safe D,Likely D,Safe D,Solid D,Safe D,0,0,0,0,0,11,2,0,0,Safe D,11,0.7333333333333333
Colorado,9,D+1,48.2% D,Likely D,Likely D,Safe D,Likely D,Likely D,Lean D,Safe D,Lean D,Likely D,Lean D,Likely D,Safe D,Likely D,Likely D,Likely D,Safe D,0,0,0,0,0,3,8,3,0,Likely D,8,0.5333333333333333
Connecticut,7,D+6,54.6% D,Safe D,Safe D,Safe D,Safe D,Safe D,Lean D,Safe D,Safe D,Safe D,Likely D,Safe D,Safe D,Likely D,Likely D,Solid D,Safe D,0,0,0,0,0,9,3,1,0,Safe D,9,0.6
Delaware,3,D+6,53.1% D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Likely D,Safe D,Safe D,Likely D,Safe D,Solid D,Safe D,0,0,0,0,0,11,2,0,0,Safe D,11,0.7333333333333333
District of  Columbia,3,D+41,90.9% D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Likely D,Safe D,Safe D,Likely D,Safe D,Solid D,Safe D,0,0,0,0,0,11,2,0,0,Safe D,11,0.7333333333333333
Florida,29,R+2,49.0% R,Tossup,Tossup,Tilt D  (flip),Tossup,Tossup,Tossup,Likely D  (flip),Tossup,Lean D  (flip),Tossup,Tossup,Tossup,Lean D  (flip),Lean D  (flip),Lean D  (flip),Tossup,0,0,0,0,8,0,1,4,1,Tossup,8,0.5333333333333333
